EDAD;GENERO;INGRESOS;EGRESOS;HABITO_PAGO;CREDITOS_VIGENTES;PUNTAJE_RIESGO;ESTADO
66;F; $ 806.400 ; $ 734.500 ;B;0;1.797;Desistida
66;F; $ 2.163.356 ; $ 1.130.000 ;E;5;2.109;Desistida
66;M; $ 840.000 ; $ 339.000 ;B;0;0;Negada
66;F; $ 1.332.800 ; $ 1.107.400 ;E;3;1.131;Negada
66;M; $ 890.400 ; $ 395.500 ;B;2;2.202;Desistida
66;M; $ 784.000 ; $ 452.000 ;E;1;2.301;Negada
66;F; $ 1.792.000 ; $ 452.000 ;E;10;1.770;Desistida
66;F; $ 1.120.000 ; $ 282.500 ;B;1;1.299;Negada
66;F; $ 1.008.000 ; $ 678.000 ;B;1;1.785;Aprobada
66;F; $ 1.680.000 ; $ 226.000 ;E;1;2.259;Negada
66;M; $ 1.652.486 ; $ 339.000 ;B;5;1.353;Negada
66;F; $ 1.323.504 ; $ 745.800 ;E;2;2.196;Anulada
66;F; $ 1.008.000 ; $ 395.500 ;B;1;2.262;Negada
66;F; $ 851.200 ; $ 445.220 ;E;3;2.274;Aprobada
66;M; $ 2.352.000 ; $ 565.000 ;B;0;3;Negada
66;F; $ 1.323.504 ; $ 745.800 ;E;2;2.196;Anulada
66;F; $ 1.323.504 ; $ 745.800 ;E;2;2.196;Aprobada
66;F; $ 1.419.040 ; $ 813.600 ;B;0;0;Aprobada
66;F; $ 2.682.400 ; $ 395.500 ;B;0;2.190;Negada
66;M; $ 826.243 ; $ 565.000 ;B;0;0;Desistida
66;M; $ 896.000 ; $ 565.000 ;B;0;0;Aprobada
66;F; $ 3.808.000 ; $ 1.412.500 ;E;5;2.565;Aprobada
66;M; $ 840.000 ; $ 113.000 ;B;1;3;Anulada
66;M; $ 840.000 ; $ 113.000 ;B;1;3;Aprobada
66;M; $ 3.752.000 ; $ 1.130.000 ;E;8;1.551;Desistida
66;M; $ 840.000 ; $ 508.500 ;E;2;1.038;Negada
66;M; $ 1.344.000 ; $ 452.000 ;C;3;732;Negada
66;F; $ 3.976.000 ; $ 1.751.500 ;E;1;2.538;Aprobada
66;F; $ 2.576.000 ; $ 452.000 ;E;6;1.503;Negada
66;M; $ 1.680.000 ; $ 339.000 ;B;0;2.166;Desistida
66;M; $ 826.243 ; $ 452.000 ;B;0;2.073;Desistida
66;F; $ 1.344.000 ; $ 678.000 ;B;4;2.304;Negada
66;F; $ 4.480.000 ; $ 1.130.000 ;B;1;2.427;Negada
66;F; $ 896.000 ; $ 395.500 ;B;1;2.247;Anulada
66;M; $ 6.720.000 ; $ 4.520.000 ;E;4;2.427;Negada
66;F; $ 896.000 ; $ 395.500 ;B;1;2.247;Aprobada
66;M; $ 1.232.000 ; $ 339.000 ;B;3;2.166;Negada
